,team1_name,team2_name,team1_id,team2_id,ground_name,ground_id,match_id,date
0,New Zealand,Australia,5,2,Auckland,58792,211048,2005-02-17
1,England,Australia,1,2,Southampton,57312,211028,2005-06-13
2,South Africa,New Zealand,3,5,Johannesburg,59120,222678,2005-10-21
3,Australia,South Africa,2,3,Brisbane,56336,226374,2006-01-09
4,New Zealand,West Indies,5,4,Auckland,58792,237242,2006-02-16
5,South Africa,Australia,3,2,Johannesburg,59120,238195,2006-02-24
6,England,Sri Lanka,1,8,Southampton,57312,225271,2006-06-15
7,England,Pakistan,1,7,Bristol,56831,225263,2006-08-28
8,Bangladesh,Zimbabwe,25,9,Khulna,56691,264065,2006-11-28
9,South Africa,India,3,6,Johannesburg,59120,255954,2006-12-01
10,New Zealand,Sri Lanka,5,8,Wellington,58899,251487,2006-12-22
11,New Zealand,Sri Lanka,5,8,Auckland,58792,251488,2006-12-26
12,Australia,England,2,1,Sydney,56544,249227,2007-01-09
13,South Africa,Pakistan,3,7,Johannesburg,59120,255957,2007-02-02
14,England,West Indies,1,4,The Oval,57127,258463,2007-06-28
15,England,West Indies,1,4,The Oval,57127,258464,2007-06-29
16,Kenya,Bangladesh,26,25,Nairobi (Gym),58661,306987,2007-09-01
17,Bangladesh,Pakistan,25,7,Nairobi (Gym),58661,306989,2007-09-02
18,Kenya,Pakistan,26,7,Nairobi (Gym),58661,306991,2007-09-04
19,South Africa,West Indies,3,4,Johannesburg,59120,287853,2007-09-11
20,Kenya,New Zealand,26,5,Durban,59089,287854,2007-09-12
21,Pakistan,Scotland,7,30,Durban,59089,287855,2007-09-12
22,Australia,Zimbabwe,2,9,Cape Town,59068,287856,2007-09-12
23,Bangladesh,West Indies,25,4,Johannesburg,59120,287857,2007-09-13
24,England,Zimbabwe,1,9,Cape Town,59068,287858,2007-09-13
25,Kenya,Sri Lanka,26,8,Johannesburg,59120,287860,2007-09-14
26,Australia,England,2,1,Cape Town,59068,287861,2007-09-14
27,India,Pakistan,6,7,Durban,59089,287862,2007-09-14
28,New Zealand,Sri Lanka,5,8,Johannesburg,59120,287863,2007-09-15
29,South Africa,Bangladesh,3,25,Cape Town,59068,287864,2007-09-15
30,India,New Zealand,6,5,Johannesburg,59120,287865,2007-09-16
31,Australia,Bangladesh,2,25,Cape Town,59068,287866,2007-09-16
32,South Africa,England,3,1,Cape Town,59068,287867,2007-09-16
33,Pakistan,Sri Lanka,7,8,Johannesburg,59120,287868,2007-09-17
34,England,New Zealand,1,5,Durban,59089,287869,2007-09-18
35,Australia,Pakistan,2,7,Johannesburg,59120,287870,2007-09-18
36,Bangladesh,Sri Lanka,25,8,Johannesburg,59120,287871,2007-09-18
37,South Africa,New Zealand,3,5,Durban,59089,287872,2007-09-19
38,England,India,1,6,Durban,59089,287873,2007-09-19
