,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,0.2,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0,2,False,,
2,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,0.3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0,3,False,,
3,1,Scotland,Kenya,232435,254114,Calum MacLeod,2,Hiren Varaiya,0.4,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0,4,False,,
4,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,0.5,6.0,6.0,0.0,0.0,0.0,0.0,12.0,0,5,False,,
5,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,0.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,6,False,,
6,1,Scotland,Kenya,232435,308691,Calum MacLeod,2,James Ngoche,1.1,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0,7,False,,
7,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,1.2,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0,8,False,,
8,1,Scotland,Kenya,232435,308691,Calum MacLeod,2,James Ngoche,1.3,4.0,4.0,0.0,0.0,0.0,0.0,18.0,0,9,False,,
9,1,Scotland,Kenya,232435,308691,Calum MacLeod,2,James Ngoche,1.4,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0,10,False,,
10,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,1.5,4.0,4.0,0.0,0.0,0.0,0.0,23.0,0,11,False,,
11,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,1.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,12,False,,
12,1,Scotland,Kenya,232435,254114,Calum MacLeod,2,Hiren Varaiya,2.1,4.0,4.0,0.0,0.0,0.0,0.0,27.0,0,13,False,,
13,1,Scotland,Kenya,232435,254114,Calum MacLeod,2,Hiren Varaiya,2.2,1.0,1.0,0.0,0.0,0.0,0.0,28.0,0,14,False,,
14,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,2.3,2.0,2.0,0.0,0.0,0.0,0.0,30.0,0,15,False,,
15,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,2.4,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0,16,False,,
16,1,Scotland,Kenya,232435,254114,Calum MacLeod,2,Hiren Varaiya,2.5,1.0,1.0,0.0,0.0,0.0,0.0,32.0,0,17,False,,
17,1,Scotland,Kenya,298195,254114,Jan Stander,3,Hiren Varaiya,2.6,1.0,1.0,0.0,0.0,0.0,0.0,33.0,0,18,False,,
18,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,3.1,4.0,4.0,0.0,0.0,0.0,0.0,37.0,0,19,False,,
19,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,3.2,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,20,False,,
20,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,3.3,4.0,4.0,0.0,0.0,0.0,0.0,41.0,0,21,False,,
21,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,3.4,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,22,False,,
22,1,Scotland,Kenya,298195,308691,Jan Stander,3,James Ngoche,3.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1,23,True,leg before wicket,Jan Stander
23,1,Scotland,Kenya,25446,308691,Kyle Coetzer,4,James Ngoche,3.6,1.0,1.0,0.0,0.0,0.0,0.0,42.0,1,24,False,,
24,1,Scotland,Kenya,25446,254114,Kyle Coetzer,4,Hiren Varaiya,4.1,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1,25,False,,
25,1,Scotland,Kenya,25446,254114,Kyle Coetzer,4,Hiren Varaiya,4.2,2.0,2.0,0.0,0.0,0.0,0.0,44.0,1,26,False,,
26,1,Scotland,Kenya,25446,254114,Kyle Coetzer,4,Hiren Varaiya,4.3,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2,27,True,caught,Kyle Coetzer
27,1,Scotland,Kenya,232435,308515,Calum MacLeod,2,Shem Ngoche,4.4,1.0,1.0,0.0,0.0,0.0,0.0,45.0,2,28,False,,
28,1,Scotland,Kenya,298195,308515,Jan Stander,3,Shem Ngoche,4.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2,29,False,,
29,1,Scotland,Kenya,298195,308515,Jan Stander,3,Shem Ngoche,4.6,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2,30,False,,
30,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2,31,False,,
31,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.2,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2,32,False,,
32,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2,33,False,,
33,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.4,4.0,4.0,0.0,0.0,0.0,0.0,49.0,2,34,False,,
34,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.5,0.0,1.0,1.0,0.0,0.0,0.0,50.0,2,35,False,,
35,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2,35,False,,
36,1,Scotland,Kenya,232435,238612,Calum MacLeod,2,Nehemiah Odhiambo,5.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2,36,False,,
37,1,Scotland,Kenya,298195,308515,Jan Stander,3,Shem Ngoche,6.1,2.0,2.0,0.0,0.0,0.0,0.0,52.0,2,37,False,,
