,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,0.2,0.0,0.0,0.0,140.0,173.0,6.0,0.0,0,2,False,,
2,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,False,,
3,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,0.4,4.0,4.0,0.0,148.0,5.0,8.0,4.0,0,4,False,,
4,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,0.5,1.0,1.0,0.0,88.0,83.0,7.0,5.0,0,5,False,,
5,1,New Zealand,South Africa,277906,297583,Kane Williamson,Kyle Abbott,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,6,False,,
6,1,New Zealand,South Africa,226492,550215,Martin Guptill,Kagiso Rabada,1.1,0.0,0.0,0.0,142.0,242.0,5.0,5.0,0,7,False,,
7,1,New Zealand,South Africa,226492,550215,Martin Guptill,Kagiso Rabada,1.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,8,False,,
8,1,New Zealand,South Africa,226492,550215,Martin Guptill,Kagiso Rabada,1.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,9,False,,
9,1,New Zealand,South Africa,226492,550215,Martin Guptill,Kagiso Rabada,1.4,1.0,1.0,0.0,259.0,142.0,2.0,6.0,0,10,False,,
10,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,1.5,2.0,2.0,0.0,235.0,292.0,4.0,8.0,0,11,False,,
11,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,1.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,12,False,,
12,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,2.1,0.0,0.0,0.0,114.0,144.0,7.0,8.0,0,13,False,,
13,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,2.2,4.0,4.0,0.0,29.0,90.0,7.0,12.0,0,14,False,,
14,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,2.3,0.0,0.0,0.0,154.0,251.0,5.0,12.0,0,15,False,,
15,1,New Zealand,South Africa,226492,297583,Martin Guptill,Kyle Abbott,2.4,1.0,1.0,0.0,246.0,216.0,3.0,13.0,0,16,False,,
16,1,New Zealand,South Africa,277906,297583,Kane Williamson,Kyle Abbott,2.5,2.0,2.0,0.0,201.0,339.0,4.0,15.0,0,17,False,,
17,1,New Zealand,South Africa,277906,297583,Kane Williamson,Kyle Abbott,2.6,4.0,4.0,0.0,161.0,6.0,8.0,19.0,0,18,False,,
18,1,New Zealand,South Africa,226492,46538,Martin Guptill,Morne Morkel,3.1,1.0,1.0,0.0,150.0,231.0,5.0,20.0,0,19,False,,
19,1,New Zealand,South Africa,277906,46538,Kane Williamson,Morne Morkel,3.2,4.0,4.0,0.0,132.0,354.0,5.0,24.0,0,20,False,,
20,1,New Zealand,South Africa,277906,46538,Kane Williamson,Morne Morkel,3.3,1.0,1.0,0.0,248.0,213.0,3.0,25.0,0,21,False,,
21,1,New Zealand,South Africa,226492,46538,Martin Guptill,Morne Morkel,3.4,1.0,1.0,0.0,239.0,216.0,3.0,26.0,0,22,False,,
22,1,New Zealand,South Africa,277906,46538,Kane Williamson,Morne Morkel,3.5,4.0,4.0,0.0,343.0,241.0,3.0,30.0,0,23,False,,
23,1,New Zealand,South Africa,277906,46538,Kane Williamson,Morne Morkel,3.6,3.0,3.0,0.0,40.0,248.0,6.0,33.0,0,24,False,,
24,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,4.1,4.0,4.0,0.0,291.0,321.0,4.0,37.0,0,25,False,,
25,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,4.2,0.0,0.0,0.0,216.0,214.0,4.0,37.0,0,26,False,,
26,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,4.3,0.0,0.0,0.0,122.0,193.0,6.0,37.0,0,27,False,,
27,1,New Zealand,South Africa,277906,550215,Kane Williamson,Kagiso Rabada,4.4,4.0,4.0,0.0,350.0,124.0,2.0,41.0,0,28,False,,
