,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,0.1,2.0,2.0,0.0,40.0,222.0,6.0,-0.22,6.42,-0.00,0.68,83.143,2.0,0,1,False,,
1,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,0.2,0.0,1.0,1.0,0.0,0.0,0.0,-0.22,1.74,-0.20,0.26,88.870,3.0,0,2,False,,
2,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,0.2,0.0,0.0,0.0,240.0,195.0,3.0,0.07,3.78,0.30,0.44,88.405,3.0,0,2,False,,
3,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,0.3,1.0,1.0,0.0,277.0,142.0,2.0,-0.07,6.25,0.35,0.72,93.080,4.0,0,3,False,,
4,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,0.4,0.0,0.0,0.0,213.0,191.0,3.0,-0.40,4.60,-0.24,0.63,93.554,4.0,0,4,False,,
5,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,0.5,4.0,4.0,0.0,165.0,359.0,5.0,-0.52,5.83,-0.39,0.79,91.140,8.0,0,5,False,,
6,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,0.6,0.0,0.0,0.0,177.0,186.0,5.0,-0.22,1.21,-0.21,0.17,93.644,8.0,0,6,False,,
7,1,Australia,South Africa,215155,297583,Usman Khawaja,1,Kyle Abbott,n,1.1,4.0,4.0,0.0,360.0,171.0,3.0,0.14,6.18,0.36,0.66,83.098,12.0,0,7,False,,
8,1,Australia,South Africa,215155,297583,Usman Khawaja,1,Kyle Abbott,n,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,9.57,0.51,0.91,79.772,12.0,0,8,False,,
9,1,Australia,South Africa,215155,297583,Usman Khawaja,1,Kyle Abbott,n,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,8.55,0.26,0.83,84.022,12.0,0,9,False,,
10,1,Australia,South Africa,215155,297583,Usman Khawaja,1,Kyle Abbott,n,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.15,0.44,0.82,85.910,12.0,0,10,False,,
11,1,Australia,South Africa,215155,297583,Usman Khawaja,1,Kyle Abbott,n,1.5,1.0,1.0,0.0,319.0,104.0,2.0,0.39,5.85,0.95,0.52,81.080,13.0,0,11,False,,
12,1,Australia,South Africa,5334,297583,Aaron Finch,2,Kyle Abbott,y,1.6,1.0,1.0,0.0,271.0,140.0,2.0,-0.55,10.99,-0.19,1.54,80.820,14.0,0,12,False,,
13,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,2.1,6.0,6.0,0.0,310.0,312.0,4.0,-0.38,4.66,-0.20,0.68,87.886,20.0,0,13,False,,
14,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,2.2,1.0,1.0,0.0,102.0,150.0,7.0,-0.45,8.01,-0.13,1.04,90.497,21.0,0,14,False,,
15,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,2.3,1.0,1.0,0.0,130.0,239.0,5.0,-0.14,6.91,0.28,0.73,93.952,22.0,0,15,False,,
16,1,Australia,South Africa,5334,550215,Aaron Finch,2,Kagiso Rabada,y,2.4,1.0,1.0,0.0,247.0,124.0,2.0,-0.47,12.06,0.07,1.23,90.901,23.0,0,16,False,,
17,1,Australia,South Africa,215155,550215,Usman Khawaja,1,Kagiso Rabada,n,2.5,0.0,0.0,0.0,22.0,203.0,6.0,-0.43,11.59,0.08,1.47,87.629,23.0,0,17,False,,
18,1,Australia,South Africa,219889,550215,David Warner,3,Kagiso Rabada,n,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.47,0.46,0.09,94.126,23.0,0,18,False,,
19,1,Australia,South Africa,5334,297583,Aaron Finch,2,Kyle Abbott,y,3.1,1.0,1.0,0.0,327.0,126.0,2.0,-0.38,8.01,-0.10,0.64,85.708,24.0,0,19,False,,
20,1,Australia,South Africa,219889,297583,David Warner,3,Kyle Abbott,n,3.2,4.0,4.0,0.0,358.0,173.0,3.0,0.34,5.55,0.80,0.61,86.219,28.0,0,20,False,,
21,1,Australia,South Africa,219889,297583,David Warner,3,Kyle Abbott,n,3.3,0.0,0.0,0.0,230.0,223.0,4.0,-0.05,8.43,0.47,0.94,85.258,28.0,0,21,False,,
22,1,Australia,South Africa,219889,297583,David Warner,3,Kyle Abbott,n,3.4,1.0,1.0,0.0,36.0,204.0,6.0,-0.33,9.05,0.13,0.90,78.813,29.0,0,22,False,,
23,1,Australia,South Africa,5334,297583,Aaron Finch,2,Kyle Abbott,y,3.5,0.0,0.0,0.0,121.0,201.0,6.0,-0.40,7.26,-0.21,0.73,84.998,29.0,0,23,False,,
24,1,Australia,South Africa,5334,297583,Aaron Finch,2,Kyle Abbott,y,3.6,1.0,1.0,0.0,135.0,231.0,5.0,-0.54,8.42,-0.34,0.89,79.155,30.0,0,24,False,,
25,1,Australia,South Africa,5334,44932,Aaron Finch,2,Jean-Paul Duminy,y,4.1,6.0,6.0,0.0,353.0,241.0,3.0,0.02,4.78,-0.20,0.71,55.879,36.0,0,25,False,,
26,1,Australia,South Africa,5334,44932,Aaron Finch,2,Jean-Paul Duminy,y,4.2,6.0,6.0,0.0,351.0,255.0,3.0,-0.00,5.92,-0.26,0.70,57.409,42.0,0,26,False,,
27,1,Australia,South Africa,5334,44932,Aaron Finch,2,Jean-Paul Duminy,y,4.3,6.0,6.0,0.0,329.0,290.0,3.0,-0.43,1.27,-0.56,0.28,56.625,48.0,0,27,False,,
28,1,Australia,South Africa,5334,44932,Aaron Finch,2,Jean-Paul Duminy,y,4.4,4.0,4.0,0.0,17.0,250.0,6.0,-1.20,6.45,-1.28,0.65,50.697,52.0,0,28,False,,
29,1,Australia,South Africa,5334,44932,Aaron Finch,2,Jean-Paul Duminy,y,4.5,0.0,0.0,0.0,227.0,152.0,2.0,0.09,4.53,0.46,0.52,58.765,52.0,0,29,False,,
