,batsman_name,date,inning,runs_scored,num_out,balls_faced,num_fours,num_sixes,num_dots,batting_order,wicket_method,caught,not out,leg before wicket,bowled,hit wicket,run out,stumped,retired not out (hurt),team,year,strike_rate
0,AB de Villiers,2006-12-01,1,6.0,1.0,4,0,1,3,5.0,caught,True,False,False,False,False,False,False,False,South Africa,05-07,150.0
1,AB de Villiers,2007-09-11,2,16.0,1.0,13,1,1,6,3.0,caught,True,False,False,False,False,False,False,False,South Africa,05-07,123.076923077
2,AB de Villiers,2007-09-15,2,14.0,0.0,15,1,0,5,4.0,not out,False,True,False,False,False,False,False,False,South Africa,05-07,93.3333333333
3,AB de Villiers,2007-09-16,1,18.0,1.0,14,4,0,9,3.0,caught,True,False,False,False,False,False,False,False,South Africa,05-07,128.571428571
4,AB de Villiers,2007-09-19,2,1.0,1.0,7,0,0,6,3.0,caught,True,False,False,False,False,False,False,False,South Africa,05-07,14.2857142857
5,AB de Villiers,2007-09-20,2,1.0,1.0,4,0,0,3,3.0,leg before wicket,False,False,True,False,False,False,False,False,South Africa,05-07,25.0
6,AB de Villiers,2007-11-23,2,52.0,0.0,46,4,1,16,4.0,not out,False,True,False,False,False,False,False,False,South Africa,05-07,113.043478261
7,AB de Villiers,2007-12-16,1,0.0,1.0,4,0,0,4,4.0,bowled,False,False,False,True,False,False,False,False,South Africa,05-07,0.0
8,AB de Villiers,2008-01-18,2,25.0,1.0,24,4,0,12,3.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,104.166666667
9,AB de Villiers,2008-11-05,1,36.0,1.0,26,2,1,6,4.0,bowled,False,False,False,True,False,False,False,False,South Africa,08-10,138.461538462
10,AB de Villiers,2009-01-11,2,0.0,1.0,4,0,0,4,3.0,hit wicket,False,False,False,False,True,False,False,False,South Africa,08-10,0.0
11,AB de Villiers,2009-03-27,2,7.0,1.0,7,1,0,3,3.0,bowled,False,False,False,True,False,False,False,False,South Africa,08-10,100.0
12,AB de Villiers,2009-03-29,1,0.0,1.0,6,0,0,6,3.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,0.0
13,AB de Villiers,2009-06-07,1,79.0,0.0,34,5,6,6,4.0,not out,False,True,False,False,False,False,False,False,South Africa,08-10,232.352941176
14,AB de Villiers,2009-06-09,1,15.0,0.0,8,2,0,0,6.0,not out,False,True,False,False,False,False,False,False,South Africa,08-10,187.5
15,AB de Villiers,2009-06-11,2,11.0,1.0,12,0,0,6,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,91.6666666667
16,AB de Villiers,2009-06-13,1,17.0,1.0,10,2,0,1,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,170.0
17,AB de Villiers,2009-06-16,1,63.0,0.0,51,7,0,16,3.0,not out,False,True,False,False,False,False,False,False,South Africa,08-10,123.529411765
18,AB de Villiers,2009-06-18,2,1.0,1.0,5,0,0,4,4.0,bowled,False,False,False,True,False,False,False,False,South Africa,08-10,20.0
19,AB de Villiers,2009-11-13,2,10.0,0.0,10,1,0,3,4.0,not out,False,True,False,False,False,False,False,False,South Africa,08-10,100.0
20,AB de Villiers,2009-11-15,1,24.0,1.0,13,3,1,4,5.0,run out,False,False,False,False,False,True,False,False,South Africa,08-10,184.615384615
21,AB de Villiers,2010-05-02,2,31.0,1.0,15,1,3,3,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,206.666666667
22,AB de Villiers,2010-05-05,1,17.0,1.0,21,1,1,12,4.0,stumped,False,False,False,False,False,False,True,False,South Africa,08-10,80.9523809524
23,AB de Villiers,2010-05-06,1,47.0,1.0,39,1,2,10,4.0,run out,False,False,False,False,False,True,False,False,South Africa,08-10,120.512820513
24,AB de Villiers,2010-05-08,2,5.0,1.0,9,0,0,5,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,55.5555555556
25,AB de Villiers,2010-05-10,2,53.0,1.0,42,1,2,11,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,126.19047619
26,AB de Villiers,2010-05-19,1,11.0,1.0,16,0,0,7,4.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,68.75
27,AB de Villiers,2010-05-20,1,19.0,1.0,17,1,1,9,3.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,111.764705882
28,AB de Villiers,2010-10-26,2,0.0,1.0,3,0,0,3,3.0,bowled,False,False,False,True,False,False,False,False,South Africa,08-10,0.0
29,AB de Villiers,2010-10-27,2,11.0,1.0,15,0,0,6,3.0,caught,True,False,False,False,False,False,False,False,South Africa,08-10,73.3333333333
30,AB de Villiers,2011-01-09,2,14.0,0.0,10,2,0,2,4.0,not out,False,True,False,False,False,False,False,False,South Africa,11-13,140.0
