batting_team,runs_w_extras,balls,wicket,run_rate,average
Afghanistan,812.0,700,53.0,6.96,15.320754717
Australia,2725.0,2088,152.0,7.83045977011,17.9276315789
Bangladesh,2281.0,1971,136.0,6.94368340944,16.7720588235
Canada,350.0,414,40.0,5.07246376812,8.75
England,3074.0,2301,140.0,8.01564537158,21.9571428571
Hong Kong,498.0,439,36.0,6.80637813212,13.8333333333
India,1615.0,1190,68.0,8.14285714286,23.75
Ireland,511.0,517,56.0,5.93036750484,9.125
Kenya,481.0,515,37.0,5.60388349515,13.0
Nepal,179.0,201,17.0,5.34328358209,10.5294117647
Netherlands,319.0,331,33.0,5.78247734139,9.66666666667
New Zealand,2395.0,2002,154.0,7.17782217782,15.5519480519
Oman,244.0,236,19.0,6.20338983051,12.8421052632
Pakistan,2073.0,1784,133.0,6.97197309417,15.5864661654
Papua New Guinea,11.0,9,1.0,7.33333333333,11.0
Scotland,996.0,868,72.0,6.88479262673,13.8333333333
South Africa,1940.0,1540,101.0,7.55844155844,19.2079207921
Sri Lanka,1166.0,1101,101.0,6.35422343324,11.5445544554
United Arab Emirates,207.0,234,20.0,5.30769230769,10.35
West Indies,2205.0,1792,115.0,7.3828125,19.1739130435
Zimbabwe,1943.0,1681,116.0,6.93515764426,16.75
