batsman_name,runs_batter,balls,wicket,average,strike_rate
AB de Villiers,659.0,515,25.0,26.36,127.961165049
Aamir Kaleem,130.0,115,4.0,32.5,113.043478261
Aaqib Sulehri,16.0,16,1.0,16.0,100.0
Aaron Finch,462.0,270,7.0,66.0,171.111111111
Aaron Redmond,103.0,71,2.0,51.5,145.070422535
Abdool Samad,46.0,45,2.0,23.0,102.222222222
Abdul Razzaq,268.0,251,13.0,20.6153846154,106.772908367
Abdul Shakoor,28.0,34,2.0,14.0,82.3529411765
Abdur Razzak,10.0,18,3.0,3.33333333333,55.5555555556
Abdur Rehman,13.0,18,2.0,6.5,72.2222222222
Adam Gilchrist,90.0,68,5.0,18.0,132.352941176
Adam Milne,14.0,12,0.0,inf,116.666666667
Adam Voges,77.0,73,2.0,38.5,105.479452055
Adil Rashid,23.0,34,1.0,23.0,67.6470588235
Adnan Ilyas,185.0,149,4.0,46.25,124.161073826
Adrian Barath,15.0,22,1.0,15.0,68.1818181818
Aftab Ahmed,94.0,80,4.0,23.5,117.5
Aftab Alam,1.0,4,0.0,inf,25.0
Ahmed Raza,0.0,4,1.0,0.0,0.0
Ahmed Shehzad,601.0,484,16.0,37.5625,124.173553719
Ahsan Malik,3.0,7,1.0,3.0,42.8571428571
Aizaz Khan,44.0,39,3.0,14.6666666667,112.820512821
Ajantha Mendis,4.0,3,0.0,inf,133.333333333
Ajay Lalcheta,1.0,2,1.0,1.0,50.0
Ajinkya Rahane,239.0,217,10.0,23.9,110.138248848
Ajit Agarkar,14.0,9,0.0,inf,155.555555556
Al-Amin Hossain,2.0,7,1.0,2.0,28.5714285714
Alastair Cook,11.0,9,1.0,11.0,122.222222222
Albie Morkel,337.0,226,16.0,21.0625,149.115044248
Alex Cusack,163.0,120,4.0,40.75,135.833333333
Alex Hales,439.0,343,15.0,29.2666666667,127.988338192
Alex Obanda,89.0,104,9.0,9.88888888889,85.5769230769
Alexei Kervezee,143.0,125,3.0,47.6666666667,114.4
Alok Kapali,14.0,38,2.0,7.0,36.8421052632
Alviro Petersen,14.0,19,1.0,14.0,73.6842105263
Ambati Rayudu,0.0,3,2.0,0.0,0.0
Amir Ali,59.0,40,2.0,29.5,147.5
Amir Hamza,3.0,2,0.0,inf,150.0
Amjad Ali,40.0,53,4.0,10.0,75.4716981132
Amjad Javed,186.0,149,9.0,20.6666666667,124.832214765
Amjad Khan,2.0,4,1.0,2.0,50.0
Amrit Bhattarai,2.0,3,1.0,2.0,66.6666666667
Anamul Haque,141.0,136,5.0,28.2,103.676470588
Andre Adams,6.0,5,0.0,inf,120.0
Andre Botha,22.0,21,3.0,7.33333333333,104.761904762
Andre Fletcher,216.0,193,6.0,36.0,111.917098446
Andre Nel,0.0,2,0.0,,0.0
Andre Russell,169.0,147,11.0,15.3636363636,114.965986395
Andrew Ellis,2.0,1,0.0,inf,200.0
Andrew Flintoff,50.0,39,2.0,25.0,128.205128205
Andrew Poynter,107.0,85,5.0,21.4,125.882352941
Andrew Strauss,40.0,45,3.0,13.3333333333,88.8888888889
Andrew Symonds,292.0,173,5.0,58.4,168.786127168
Andrew White,79.0,75,3.0,26.3333333333,105.333333333
Andy Balbirnie,68.0,69,3.0,22.6666666667,98.5507246377
Andy Blignaut,8.0,9,1.0,8.0,88.8888888889
Andy McBrine,1.0,4,1.0,1.0,25.0
Andy McKay,0.0,1,1.0,0.0,0.0
Angelo Mathews,595.0,454,19.0,31.3157894737,131.057268722
Anil Mandal,2.0,9,1.0,2.0,22.2222222222
Anshy Rath,42.0,72,4.0,10.5,58.3333333333
Anton Devcich,111.0,81,4.0,27.75,137.037037037
Anwar Ali,28.0,28,2.0,14.0,100.0
Arafat Sunny,10.0,14,2.0,5.0,71.4285714286
Asad Shafiq,93.0,91,3.0,31.0,102.197802198
Asela Gunaratne,4.0,12,1.0,4.0,33.3333333333
Asghar Stanikzai,337.0,320,13.0,25.9230769231,105.3125
Ashif Mulla,1.0,2,1.0,1.0,50.0
Ashish Bagai,153.0,136,5.0,30.6,112.5
Ashish Nehra,6.0,19,1.0,6.0,31.5789473684
