batsman_name,runs_batter,balls,wicket,strike_rate,average
AB de Villiers,126.0,125,4.0,100.8,31.5
Aaqib Sulehri,16.0,16,1.0,100.0,16.0
Aaron Finch,196.0,122,3.0,160.655737705,65.3333333333
Aaron Redmond,67.0,48,1.0,139.583333333,67.0
Abdool Samad,21.0,18,1.0,116.666666667,21.0
Adam Gilchrist,74.0,60,4.0,123.333333333,18.5
Adnan Ilyas,5.0,9,0.0,55.5555555556,inf
Adrian Barath,15.0,22,1.0,68.1818181818,15.0
Aftab Ahmed,54.0,35,2.0,154.285714286,27.0
Ahmed Shehzad,290.0,268,9.0,108.208955224,32.2222222222
Ajinkya Rahane,132.0,121,4.0,109.090909091,33.0
Alastair Cook,11.0,9,1.0,122.222222222,11.0
Albie Morkel,11.0,13,1.0,84.6153846154,11.0
Alex Cusack,50.0,37,1.0,135.135135135,50.0
Alex Hales,285.0,214,7.0,133.177570093,40.7142857143
Alex Obanda,64.0,60,4.0,106.666666667,16.0
Alexei Kervezee,17.0,15,0.0,113.333333333,inf
Alok Kapali,2.0,4,0.0,50.0,inf
Amjad Ali,31.0,41,1.0,75.6097560976,31.0
Anamul Haque,71.0,69,3.0,102.898550725,23.6666666667
Andre Botha,14.0,14,2.0,100.0,7.0
Andre Fletcher,77.0,80,2.0,96.25,38.5
Andre Russell,6.0,6,1.0,100.0,6.0
Andrew Flintoff,6.0,6,0.0,100.0,inf
Andrew Poynter,12.0,11,0.0,109.090909091,inf
Andrew Strauss,0.0,2,1.0,0.0,0.0
Andrew Symonds,50.0,27,1.0,185.185185185,50.0
Andrew White,5.0,5,0.0,100.0,inf
Andy Balbirnie,20.0,30,1.0,66.6666666667,20.0
Andy Blignaut,7.0,4,0.0,175.0,inf
Angelo Mathews,7.0,12,0.0,58.3333333333,inf
Anil Mandal,2.0,9,1.0,22.2222222222,2.0
Anshy Rath,25.0,37,2.0,67.5675675676,12.5
Anton Devcich,101.0,67,1.0,150.746268657,101.0
Asad Shafiq,66.0,51,1.0,129.411764706,66.0
Asela Gunaratne,4.0,12,1.0,33.3333333333,4.0
Asghar Stanikzai,86.0,112,2.0,76.7857142857,43.0
Ashif Mulla,1.0,2,1.0,50.0,1.0
Ashish Bagai,12.0,11,0.0,109.090909091,inf
Assad Vala,20.0,32,2.0,62.5,10.0
Austin Richards,0.0,4,0.0,0.0,
Awais Zia,21.0,20,1.0,105.0,21.0
Babar Hayat,40.0,28,1.0,142.857142857,40.0
Basant Regmi,2.0,10,0.0,20.0,inf
Ben Cooper,23.0,25,2.0,92.0,11.5
Ben Dunk,1.0,1,0.0,100.0,inf
Brad Haddin,52.0,49,2.0,106.12244898,26.0
Brendan Taylor,82.0,77,5.0,106.493506494,16.4
Brendon McCullum,458.0,384,11.0,119.270833333,41.6363636364
Callum Ferguson,7.0,6,0.0,116.666666667,inf
Calum MacLeod,81.0,85,4.0,95.2941176471,20.25
Cameron White,59.0,64,1.0,92.1875,59.0
Cephas Zhuwao,6.0,18,1.0,33.3333333333,6.0
Chamara Kapugedera,13.0,19,1.0,68.4210526316,13.0
Chamara Silva,20.0,25,2.0,80.0,10.0
Chamu Chibhabha,112.0,107,3.0,104.672897196,37.3333333333
Chris Foggo,13.0,16,2.0,81.25,6.5
Chris Gayle,348.0,341,13.0,102.052785924,26.7692307692
Colin Ingram,47.0,39,3.0,120.512820513,15.6666666667
Colin Munro,8.0,6,0.0,133.333333333,inf
Colin Smith,1.0,2,1.0,50.0,1.0
Collins Obuya,80.0,78,3.0,102.564102564,26.6666666667
Corey Anderson,7.0,9,0.0,77.7777777778,inf
Craig Ervine,27.0,33,0.0,81.8181818182,inf
Craig Kieswetter,131.0,118,3.0,111.016949153,43.6666666667
Craig McMillan,0.0,1,0.0,0.0,
Daan van Bunge,30.0,33,1.0,90.9090909091,30.0
Damien Martyn,36.0,26,0.0,138.461538462,inf
Daniel Vettori,5.0,7,1.0,71.4285714286,5.0
