batsman_name,runs_batter,balls,wicket,strike_rate,average
AB de Villiers,203.0,105,7.0,193.333333333,29.0
Aamir Kaleem,56.0,48,2.0,116.666666667,28.0
Aaron Finch,101.0,52,2.0,194.230769231,50.5
Abdul Razzaq,207.0,149,7.0,138.926174497,29.5714285714
Abdul Shakoor,23.0,19,1.0,121.052631579,23.0
Abdur Razzak,10.0,17,2.0,58.8235294118,5.0
Abdur Rehman,13.0,18,2.0,72.2222222222,6.5
Adam Milne,14.0,12,0.0,116.666666667,inf
Adam Voges,22.0,19,1.0,115.789473684,22.0
Adam Zampa,5.0,6,0.0,83.3333333333,inf
Adil Rashid,23.0,34,1.0,67.6470588235,23.0
Adnan Ilyas,46.0,33,2.0,139.393939394,23.0
Aftab Ahmed,11.0,9,1.0,122.222222222,11.0
Aftab Alam,1.0,4,0.0,25.0,inf
Ahmed Raza,0.0,1,1.0,0.0,0.0
Ahmed Shehzad,83.0,45,1.0,184.444444444,83.0
Ahsan Malik,3.0,5,0.0,60.0,inf
Aizaz Khan,34.0,24,3.0,141.666666667,11.3333333333
Ajantha Mendis,4.0,3,0.0,133.333333333,inf
Ajay Lalcheta,1.0,2,1.0,50.0,1.0
Ajit Agarkar,14.0,9,0.0,155.555555556,inf
Al-Amin Hossain,2.0,5,1.0,40.0,2.0
Albie Morkel,254.0,151,12.0,168.21192053,21.1666666667
Alex Cusack,40.0,24,0.0,166.666666667,inf
Alex Hales,16.0,10,1.0,160.0,16.0
Alex Obanda,15.0,12,2.0,125.0,7.5
Alexei Kervezee,48.0,34,3.0,141.176470588,16.0
Alok Kapali,0.0,4,2.0,0.0,0.0
Alviro Petersen,6.0,7,0.0,85.7142857143,inf
Ambati Rayudu,0.0,1,1.0,0.0,0.0
Amir Ali,59.0,40,2.0,147.5,29.5
Amir Hamza,3.0,2,0.0,150.0,inf
Amjad Javed,108.0,83,8.0,130.120481928,13.5
Amjad Khan,2.0,4,1.0,50.0,2.0
Amrit Bhattarai,2.0,3,1.0,66.6666666667,2.0
Anamul Haque,14.0,11,1.0,127.272727273,14.0
Andre Adams,6.0,5,0.0,120.0,inf
Andre Fletcher,25.0,16,1.0,156.25,25.0
Andre Nel,0.0,2,0.0,0.0,
Andre Russell,140.0,105,8.0,133.333333333,17.5
Andrew Ellis,2.0,1,0.0,200.0,inf
Andrew Flintoff,26.0,19,2.0,136.842105263,13.0
Andrew Poynter,36.0,19,1.0,189.473684211,36.0
Andrew Strauss,25.0,22,2.0,113.636363636,12.5
Andrew Symonds,83.0,46,1.0,180.434782609,83.0
Andrew White,48.0,37,3.0,129.72972973,16.0
Andy McKay,0.0,1,1.0,0.0,0.0
Angelo Mathews,350.0,203,14.0,172.413793103,25.0
Anwar Ali,23.0,17,1.0,135.294117647,23.0
Arafat Sunny,10.0,14,2.0,71.4285714286,5.0
Asghar Stanikzai,31.0,36,6.0,86.1111111111,5.16666666667
Ashish Bagai,42.0,35,4.0,120.0,10.5
Ashish Nehra,4.0,12,1.0,33.3333333333,4.0
Ashley Nurse,6.0,3,0.0,200.0,inf
Ashok Dinda,3.0,4,0.0,75.0,inf
Ashwell Prince,3.0,3,0.0,100.0,inf
Axar Patel,5.0,6,1.0,83.3333333333,5.0
Babar Hayat,4.0,3,1.0,133.333333333,4.0
Balaji Rao,20.0,12,0.0,166.666666667,inf
Basant Regmi,1.0,3,0.0,33.3333333333,inf
Ben Cooper,33.0,20,1.0,165.0,33.0
Ben Cutting,6.0,6,1.0,100.0,6.0
Ben Hilfenhaus,2.0,10,2.0,20.0,1.0
Ben Stokes,26.0,19,3.0,136.842105263,8.66666666667
Beuran Hendricks,15.0,16,1.0,93.75,15.0
Bhuvneshwar Kumar,6.0,9,1.0,66.6666666667,6.0
Binod Bhandari,5.0,13,2.0,38.4615384615,2.5
Boyd Rankin,23.0,15,0.0,153.333333333,inf
Brad Haddin,74.0,48,4.0,154.166666667,18.5
Brad Hodge,55.0,41,4.0,134.146341463,13.75
Brad Hogg,4.0,4,1.0,100.0,4.0
Brad Wheal,2.0,2,0.0,100.0,inf
Brendan Taylor,62.0,39,2.0,158.974358974,31.0
Brendon McCullum,179.0,73,4.0,245.205479452,44.75
Brett Lee,37.0,21,2.0,176.19047619,18.5
Calum MacLeod,19.0,18,3.0,105.555555556,6.33333333333
Cameron White,130.0,83,8.0,156.626506024,16.25
Carlos Brathwaite,1.0,2,1.0,50.0,1.0
Carlton Baugh,8.0,10,1.0,80.0,8.0
Chad Soper,11.0,18,0.0,61.1111111111,inf
Chamara Kapugedera,144.0,92,9.0,156.52173913,16.0
Chamara Silva,44.0,40,5.0,110.0,8.8
Chaminda Vaas,9.0,12,1.0,75.0,9.0
Chamu Chibhabha,29.0,32,4.0,90.625,7.25
Charl Langeveldt,2.0,5,1.0,40.0,2.0
Charles Amini,51.0,35,1.0,145.714285714,51.0
Charles Coventry,40.0,22,4.0,181.818181818,10.0
Chinthaka Jayasinghe,10.0,6,1.0,166.666666667,10.0
Chris Barnwell,11.0,11,1.0,100.0,11.0
Chris Gayle,117.0,59,4.0,198.305084746,29.25
Chris Jordan,43.0,23,3.0,186.956521739,14.3333333333
Chris Lynn,46.0,29,1.0,158.620689655,46.0
Chris Morris,3.0,6,1.0,50.0,3.0
Chris Mpofu,3.0,2,0.0,150.0,inf
Chris Read,13.0,11,1.0,118.181818182,13.0
Chris Schofield,10.0,11,1.0,90.9090909091,10.0
Chris Woakes,52.0,34,2.0,152.941176471,26.0
Christopher Carter,11.0,12,1.0,91.6666666667,11.0
Clint McKay,6.0,9,1.0,66.6666666667,6.0
Colin Ingram,20.0,9,1.0,222.222222222,20.0
Colin Munro,89.0,52,4.0,171.153846154,22.25
Colin de Grandhomme,3.0,7,0.0,42.8571428571,inf
Collins Obuya,69.0,57,0.0,121.052631579,inf
Corey Anderson,67.0,31,4.0,216.129032258,16.75
Craig Ervine,34.0,37,5.0,91.8918918919,6.8
Craig McMillan,76.0,32,1.0,237.5,76.0
Craig Wallace,6.0,6,1.0,100.0,6.0
Craig Young,0.0,1,1.0,0.0,0.0
Daan van Bunge,4.0,7,0.0,57.1428571429,inf
Dale Steyn,8.0,9,2.0,88.8888888889,4.0
Damien Martyn,34.0,16,1.0,212.5,34.0
Daniel Christian,9.0,7,2.0,128.571428571,4.5
Daniel Flynn,19.0,14,1.0,135.714285714,19.0
Daniel Vettori,100.0,89,5.0,112.359550562,20.0
Danza Hyatt,15.0,18,4.0,83.3333333333,3.75
Daren Powell,1.0,1,0.0,100.0,inf
Darren Bravo,6.0,4,1.0,150.0,6.0
Darren Sammy,332.0,205,18.0,161.951219512,18.4444444444
Daryl Tuffey,0.0,3,2.0,0.0,0.0
Dasun Shanaka,8.0,12,4.0,66.6666666667,2.0
David Hussey,204.0,107,8.0,190.654205607,25.5
David Miller,266.0,186,13.0,143.010752688,20.4615384615
David Murphy,4.0,5,0.0,80.0,inf
David Warner,22.0,17,0.0,129.411764706,inf
David Wiese,38.0,26,3.0,146.153846154,12.6666666667
David Willey,20.0,16,2.0,125.0,10.0
Dawlat Ahmadzai,2.0,3,0.0,66.6666666667,inf
Dawlat Zadran,17.0,16,2.0,106.25,8.5
Denesh Ramdin,120.0,90,10.0,133.333333333,12.0
Derwin Christian,0.0,2,1.0,0.0,0.0
Devendra Bishoo,0.0,2,2.0,0.0,0.0
Devon Smith,0.0,2,1.0,0.0,0.0
Dewald Nel,21.0,16,2.0,131.25,10.5
Dilhara Fernando,17.0,22,5.0,77.2727272727,3.4
Dilhara Lokuhettige,18.0,9,0.0,200.0,inf
Dilruwan Perera,1.0,8,1.0,12.5,1.0
Dimitri Mascarenhas,76.0,45,3.0,168.888888889,25.3333333333
Dinesh Chandimal,53.0,29,3.0,182.75862069,17.6666666667
Dirk Nannes,4.0,4,1.0,100.0,4.0
Donald Tiripano,0.0,2,1.0,0.0,0.0
Doug Bracewell,27.0,18,0.0,150.0,inf
Duncan Allan,1.0,2,1.0,50.0,1.0
