batsman_name,runs_batter,balls,wicket,strike_rate,average
AB de Villiers,330.0,285,14.0,115.789473684,23.5714285714
Aamir Kaleem,74.0,67,2.0,110.447761194,37.0
Aaron Finch,166.0,98,3.0,169.387755102,55.3333333333
Aaron Redmond,36.0,23,1.0,156.52173913,36.0
Abdool Samad,25.0,27,1.0,92.5925925926,25.0
Abdul Razzaq,61.0,102,6.0,59.8039215686,10.1666666667
Abdul Shakoor,5.0,15,1.0,33.3333333333,5.0
Abdur Razzak,0.0,1,1.0,0.0,0.0
Adam Gilchrist,16.0,8,1.0,200.0,16.0
Adam Voges,55.0,54,1.0,101.851851852,55.0
Adnan Ilyas,134.0,107,2.0,125.23364486,67.0
Aftab Ahmed,29.0,36,1.0,80.5555555556,29.0
Ahmed Raza,0.0,4,1.0,0.0,0.0
Ahmed Shehzad,228.0,171,6.0,133.333333333,38.0
Ahsan Malik,0.0,2,1.0,0.0,0.0
Aizaz Khan,10.0,15,0.0,66.6666666667,inf
Ajinkya Rahane,107.0,96,6.0,111.458333333,17.8333333333
Al-Amin Hossain,0.0,2,0.0,0.0,
Albie Morkel,72.0,62,3.0,116.129032258,24.0
Alex Cusack,73.0,59,3.0,123.728813559,24.3333333333
Alex Hales,138.0,119,7.0,115.966386555,19.7142857143
Alex Obanda,10.0,32,3.0,31.25,3.33333333333
Alexei Kervezee,78.0,76,0.0,102.631578947,inf
Alok Kapali,12.0,30,0.0,40.0,inf
Alviro Petersen,8.0,12,1.0,66.6666666667,8.0
Ambati Rayudu,0.0,2,1.0,0.0,0.0
Amjad Ali,9.0,12,3.0,75.0,3.0
Amjad Javed,78.0,67,2.0,116.417910448,39.0
Anamul Haque,56.0,56,1.0,100.0,56.0
Andre Botha,8.0,7,1.0,114.285714286,8.0
Andre Fletcher,114.0,97,3.0,117.525773196,38.0
Andre Russell,23.0,36,2.0,63.8888888889,11.5
Andrew Flintoff,18.0,14,0.0,128.571428571,inf
Andrew Poynter,59.0,55,4.0,107.272727273,14.75
Andrew Strauss,15.0,21,0.0,71.4285714286,inf
Andrew Symonds,159.0,100,3.0,159.0,53.0
Andrew White,26.0,33,0.0,78.7878787879,inf
Andy Balbirnie,48.0,39,2.0,123.076923077,24.0
Andy Blignaut,1.0,5,1.0,20.0,1.0
Andy McBrine,1.0,4,1.0,25.0,1.0
Angelo Mathews,238.0,239,5.0,99.5815899582,47.6
Anshy Rath,17.0,35,2.0,48.5714285714,8.5
Anton Devcich,10.0,14,3.0,71.4285714286,3.33333333333
Anwar Ali,5.0,11,1.0,45.4545454545,5.0
Asad Shafiq,27.0,40,2.0,67.5,13.5
Asghar Stanikzai,242.0,196,8.0,123.469387755,30.25
Ashish Bagai,99.0,90,1.0,110.0,99.0
Ashish Nehra,2.0,7,0.0,28.5714285714,inf
Ashwell Prince,2.0,3,0.0,66.6666666667,inf
Assad Vala,5.0,7,1.0,71.4285714286,5.0
Austin Richards,10.0,13,1.0,76.9230769231,10.0
Axar Patel,6.0,9,0.0,66.6666666667,inf
Babar Hayat,46.0,52,3.0,88.4615384615,15.3333333333
Balaji Rao,2.0,3,0.0,66.6666666667,inf
Basant Regmi,14.0,24,3.0,58.3333333333,4.66666666667
Ben Cooper,67.0,77,4.0,87.012987013,16.75
Ben Cutting,29.0,17,1.0,170.588235294,29.0
Ben Dunk,1.0,5,1.0,20.0,1.0
Ben Stokes,11.0,7,1.0,157.142857143,11.0
Binod Bhandari,5.0,5,3.0,100.0,1.66666666667
Brad Haddin,88.0,93,5.0,94.623655914,17.6
Brad Hodge,60.0,49,1.0,122.448979592,60.0
