batsman_name,runs_batter,balls,wicket,average,strike_rate
AB de Villiers,585.0,479,28.0,20.8928571429,122.129436326
Aamir Kaleem,31.0,28,3.0,10.3333333333,110.714285714
Aaqib Sulehri,19.0,25,3.0,6.33333333333,76.0
Aaron Finch,414.0,326,13.0,31.8461538462,126.993865031
Aaron Phangiso,2.0,5,1.0,2.0,40.0
Aaron Redmond,23.0,13,1.0,23.0,176.923076923
Abdool Samad,48.0,50,3.0,16.0,96.0
Abdul Razzaq,125.0,105,7.0,17.8571428571,119.047619048
Abdur Razzak,31.0,57,6.0,5.16666666667,54.3859649123
Abdur Rehman,9.0,11,2.0,4.5,81.8181818182
Abu Hider,14.0,10,1.0,14.0,140.0
Abul Hasan,9.0,9,1.0,9.0,100.0
Abzal Dean,8.0,11,1.0,8.0,72.7272727273
Adam Gilchrist,182.0,135,6.0,30.3333333333,134.814814815
Adam Milne,5.0,9,0.0,inf,55.5555555556
Adam Voges,51.0,35,1.0,51.0,145.714285714
Adil Mehmood,0.0,1,0.0,,0.0
Adil Rashid,1.0,2,1.0,1.0,50.0
Adnan Ilyas,52.0,46,4.0,13.0,113.043478261
Adrian Barath,8.0,20,1.0,8.0,40.0
Afsar Zazai,9.0,22,1.0,9.0,40.9090909091
Aftab Ahmed,106.0,83,4.0,26.5,127.710843373
Ahmed Raza,22.0,37,2.0,11.0,59.4594594595
Ahmed Shehzad,340.0,354,22.0,15.4545454545,96.0451977401
Ahsan Malik,11.0,11,1.0,11.0,100.0
Aizaz Cheema,0.0,3,0.0,,0.0
Aizaz Khan,85.0,88,5.0,17.0,96.5909090909
Ajantha Mendis,4.0,15,3.0,1.33333333333,26.6666666667
Ajay Lalcheta,30.0,21,1.0,30.0,142.857142857
Ajinkya Rahane,85.0,83,5.0,17.0,102.409638554
Ajit Agarkar,1.0,2,1.0,1.0,50.0
Ajmal Shahzad,0.0,3,0.0,,0.0
Al-Amin Hossain,5.0,3,0.0,inf,166.666666667
Alasdair Evans,1.0,7,2.0,0.5,14.2857142857
Alastair Cook,50.0,46,3.0,16.6666666667,108.695652174
Albie Morkel,232.0,181,9.0,25.7777777778,128.17679558
Alex Cusack,66.0,62,7.0,9.42857142857,106.451612903
Alex Hales,704.0,522,18.0,39.1111111111,134.865900383
Alex Obanda,236.0,205,12.0,19.6666666667,115.12195122
Alexei Kervezee,147.0,142,7.0,21.0,103.521126761
Alok Kapali,43.0,51,3.0,14.3333333333,84.3137254902
Ambati Rayudu,3.0,6,0.0,inf,50.0
Amir Ali,2.0,7,1.0,2.0,28.5714285714
Amir Hamza,6.0,7,1.0,6.0,85.7142857143
Amjad Ali,2.0,2,0.0,inf,100.0
Amjad Gul,24.0,22,1.0,24.0,109.090909091
Amjad Javed,25.0,39,3.0,8.33333333333,64.1025641026
Anamul Haque,195.0,148,6.0,32.5,131.756756757
Anas Khan,33.0,41,0.0,inf,80.487804878
Andre Adams,7.0,7,1.0,7.0,100.0
Andre Botha,108.0,123,6.0,18.0,87.8048780488
Andre Fletcher,211.0,207,16.0,13.1875,101.93236715
Andre Russell,50.0,34,7.0,7.14285714286,147.058823529
Andrew Ellis,7.0,10,2.0,3.5,70.0
Andrew Flintoff,26.0,23,2.0,13.0,113.043478261
Andrew Hall,11.0,10,1.0,11.0,110.0
Andrew Poynter,101.0,91,6.0,16.8333333333,110.989010989
Andrew Strauss,33.0,23,1.0,33.0,143.47826087
Andrew Symonds,45.0,31,2.0,22.5,145.161290323
Andrew Tye,4.0,5,1.0,4.0,80.0
Andrew White,53.0,48,4.0,13.25,110.416666667
Andy Balbirnie,16.0,27,3.0,5.33333333333,59.2592592593
Andy McBrine,10.0,9,0.0,inf,111.111111111
Angelo Mathews,267.0,280,17.0,15.7058823529,95.3571428571
Angelo Perera,4.0,9,1.0,4.0,44.4444444444
Anil Mandal,9.0,16,1.0,9.0,56.25
Anshy Rath,143.0,158,8.0,17.875,90.5063291139
Anwar Ali,81.0,49,5.0,16.2,165.306122449
Arafat Sunny,16.0,14,1.0,16.0,114.285714286
Asad Shafiq,99.0,99,5.0,19.8,100.0
Asghar Stanikzai,215.0,224,12.0,17.9166666667,95.9821428571
Ashif Mulla,11.0,19,3.0,3.66666666667,57.8947368421
Ashish Bagai,131.0,120,2.0,65.5,109.166666667
Ashish Nehra,22.0,17,3.0,7.33333333333,129.411764706
Ashley Nurse,3.0,5,1.0,3.0,60.0
Ashok Dinda,19.0,20,1.0,19.0,95.0
Assad Vala,91.0,95,2.0,45.5,95.7894736842
Atse Buurman,0.0,4,2.0,0.0,0.0
Avinash Karn,4.0,7,1.0,4.0,57.1428571429
Awais Zia,49.0,66,3.0,16.3333333333,74.2424242424
Axar Patel,13.0,15,1.0,13.0,86.6666666667
BJ Watling,30.0,48,3.0,10.0,62.5
Babar Hayat,361.0,270,10.0,36.1,133.703703704
Balaji Rao,10.0,15,3.0,3.33333333333,66.6666666667
Bas Zuiderent,108.0,130,5.0,21.6,83.0769230769
Basant Regmi,5.0,16,2.0,2.5,31.25
Ben Cooper,222.0,183,6.0,37.0,121.31147541
Ben Cutting,0.0,1,1.0,0.0,0.0
Ben Dunk,37.0,28,2.0,18.5,132.142857143
