batting_team,win,runs_scored,num_out,balls_faced,num_fours,num_sixes,num_dots,total_matches,average,run_rate,balls_per_six,balls_per_boundary,win_rate
Afghanistan,11.0,2533.0,112.0,2022,218,75,912,18,22.6160714286,7.51632047478,26.96,9.2752293578,0.611111111111
Australia,21.0,5975.0,243.0,4374,499,231,1841,43,24.5884773663,8.19615912209,18.9350649351,8.76553106212,0.488372093023
Bangladesh,10.0,4512.0,228.0,3666,389,132,1627,33,19.7894736842,7.38461538462,27.7727272727,9.42416452442,0.30303030303
Canada,3.0,1247.0,85.0,1214,92,29,637,11,14.6705882353,6.16309719934,41.8620689655,13.1956521739,0.272727272727
England,18.0,6006.0,235.0,4490,547,156,1849,40,25.5574468085,8.02583518931,28.7820512821,8.2084095064,0.45
Hong Kong,6.0,1442.0,82.0,1289,101,49,609,12,17.5853658537,6.71217998448,26.306122449,12.7623762376,0.5
India,21.0,4572.0,146.0,3445,398,135,1458,32,31.3150684932,7.96284470247,25.5185185185,8.65577889447,0.65625
Ireland,13.0,3120.0,166.0,2797,293,47,1350,27,18.7951807229,6.69288523418,59.5106382979,9.54607508532,0.481481481481
Kenya,7.0,1594.0,89.0,1478,128,39,718,14,17.9101123596,6.47090663058,37.8974358974,11.546875,0.5
Nepal,1.0,457.0,33.0,464,33,4,221,4,13.8484848485,5.90948275862,116.0,14.0606060606,0.25
Netherlands,12.0,2433.0,114.0,1979,195,72,843,18,21.3421052632,7.37645275392,27.4861111111,10.1487179487,0.666666666667
New Zealand,18.0,6040.0,270.0,4645,505,208,2085,45,22.3703703704,7.80193756728,22.3317307692,9.19801980198,0.4
Oman,1.0,477.0,29.0,448,49,5,212,4,16.4482758621,6.38839285714,89.6,9.14285714286,0.25
Pakistan,25.0,6652.0,325.0,5509,561,195,2564,49,20.4676923077,7.24487202759,28.2512820513,9.81996434938,0.510204081633
Papua New Guinea,2.0,312.0,19.0,264,20,14,139,3,16.4210526316,7.09090909091,18.8571428571,13.2,0.666666666667
Scotland,7.0,2480.0,132.0,2035,228,50,951,19,18.7878787879,7.31203931204,40.7,8.92543859649,0.368421052632
South Africa,24.0,5414.0,201.0,4139,464,168,1777,39,26.9353233831,7.8482725296,24.6369047619,8.92025862069,0.615384615385
Sri Lanka,16.0,4348.0,215.0,3699,375,100,1667,35,20.223255814,7.05271695053,36.99,9.864,0.457142857143
United Arab Emirates,2.0,651.0,46.0,663,50,23,387,6,14.152173913,5.89140271493,28.8260869565,13.26,0.333333333333
West Indies,11.0,4020.0,188.0,3156,349,135,1508,30,21.3829787234,7.64258555133,23.3777777778,9.04297994269,0.366666666667
Zimbabwe,4.0,3004.0,167.0,2557,224,83,1179,23,17.9880239521,7.04888541259,30.8072289157,11.4151785714,0.173913043478
