,batting_team,batting_order,runs_scored,num_out,balls_faced,num_fours,num_sixes,num_dots,strike_rate,average
0,Afghanistan,1.0,1023.0,38.0,729,113,39,320,140.329218107,26.9210526316
1,Afghanistan,2.0,820.0,38.0,744,77,20,361,110.215053763,21.5789473684
2,Afghanistan,3.0,1014.0,37.0,860,83,27,370,117.906976744,27.4054054054
3,Afghanistan,4.0,862.0,35.0,717,69,27,297,120.223152022,24.6285714286
4,Afghanistan,5.0,778.0,29.0,634,41,35,244,122.712933754,26.8275862069
5,Afghanistan,6.0,657.0,20.0,453,31,39,157,145.033112583,32.85
6,Afghanistan,7.0,321.0,27.0,260,14,11,96,123.461538462,11.8888888889
7,Afghanistan,8.0,226.0,16.0,184,14,11,83,122.826086957,14.125
8,Afghanistan,9.0,125.0,11.0,93,5,9,43,134.408602151,11.3636363636
9,Afghanistan,10.0,67.0,7.0,91,3,5,62,73.6263736264,9.57142857143
10,Afghanistan,11.0,11.0,1.0,22,1,0,16,50.0,11.0
11,Australia,1.0,2214.0,71.0,1585,206,92,691,139.684542587,31.1830985915
12,Australia,2.0,2782.0,69.0,1863,257,130,762,149.329039184,40.3188405797
13,Australia,3.0,1637.0,64.0,1355,130,47,537,120.811808118,25.578125
14,Australia,4.0,1646.0,69.0,1207,129,61,433,136.371168186,23.8550724638
15,Australia,5.0,1245.0,49.0,960,70,52,337,129.6875,25.4081632653
16,Australia,6.0,1072.0,50.0,831,64,42,283,129.001203369,21.44
17,Australia,7.0,760.0,38.0,564,43,31,185,134.75177305,20.0
18,Australia,8.0,392.0,31.0,328,24,12,136,119.512195122,12.6451612903
19,Australia,9.0,208.0,21.0,170,19,7,83,122.352941176,9.90476190476
20,Australia,10.0,99.0,10.0,98,3,4,49,101.020408163,9.9
21,Australia,11.0,43.0,6.0,55,2,1,32,78.1818181818,7.16666666667
22,Bangladesh,1.0,1014.0,49.0,898,108,17,438,112.917594655,20.693877551
23,Bangladesh,2.0,1046.0,52.0,879,109,37,441,118.998862344,20.1153846154
24,Bangladesh,3.0,1504.0,48.0,1151,145,38,446,130.668983493,31.3333333333
25,Bangladesh,4.0,841.0,48.0,678,66,29,259,124.041297935,17.5208333333
26,Bangladesh,5.0,631.0,45.0,591,56,11,252,106.768189509,14.0222222222
27,Bangladesh,6.0,817.0,33.0,704,55,21,283,116.051136364,24.7575757576
28,Bangladesh,7.0,516.0,31.0,465,28,20,196,110.967741935,16.6451612903
29,Bangladesh,8.0,420.0,30.0,343,25,16,150,122.448979592,14.0
30,Bangladesh,9.0,261.0,19.0,244,16,9,117,106.967213115,13.7368421053
31,Bangladesh,10.0,81.0,13.0,102,7,0,59,79.4117647059,6.23076923077
32,Bangladesh,11.0,30.0,6.0,54,3,0,36,55.5555555556,5.0
33,Bermuda,1.0,13.0,3.0,17,2,0,11,76.4705882353,4.33333333333
34,Bermuda,2.0,32.0,3.0,50,1,0,32,64.0,10.6666666667
35,Bermuda,3.0,32.0,3.0,42,3,1,29,76.1904761905,10.6666666667
36,Bermuda,4.0,15.0,2.0,24,0,0,15,62.5,7.5
37,Bermuda,5.0,49.0,1.0,51,1,1,18,96.0784313725,49.0
38,Bermuda,6.0,10.0,3.0,22,0,0,13,45.4545454545,3.33333333333
39,Bermuda,7.0,15.0,4.0,29,0,0,18,51.724137931,3.75
40,Bermuda,8.0,18.0,4.0,29,0,1,20,62.0689655172,4.5
41,Bermuda,9.0,22.0,1.0,32,0,0,14,68.75,22.0
42,Bermuda,10.0,2.0,1.0,4,0,0,2,50.0,2.0
43,Bermuda,11.0,2.0,1.0,7,0,0,6,28.5714285714,2.0
44,Canada,1.0,323.0,17.0,308,28,8,156,104.87012987,19.0
45,Canada,2.0,394.0,20.0,320,34,17,177,123.125,19.7
46,Canada,3.0,332.0,20.0,340,29,2,163,97.6470588235,16.6
47,Canada,4.0,412.0,16.0,371,40,3,151,111.051212938,25.75
48,Canada,5.0,186.0,15.0,227,7,3,104,81.9383259912,12.4
49,Canada,6.0,227.0,13.0,226,16,7,112,100.442477876,17.4615384615
50,Canada,7.0,185.0,15.0,161,10,6,59,114.906832298,12.3333333333
51,Canada,8.0,111.0,9.0,108,3,3,41,102.777777778,12.3333333333
52,Canada,9.0,63.0,7.0,84,3,0,47,75.0,9.0
53,Canada,10.0,52.0,7.0,58,1,2,30,89.6551724138,7.42857142857
54,Canada,11.0,25.0,2.0,40,0,0,21,62.5,12.5
55,England,1.0,1823.0,69.0,1456,191,48,666,125.206043956,26.4202898551
56,England,2.0,2182.0,70.0,1628,222,59,689,134.029484029,31.1714285714
57,England,3.0,1977.0,70.0,1432,179,60,538,138.058659218,28.2428571429
58,England,4.0,1430.0,64.0,1165,108,52,477,122.746781116,22.34375
59,England,5.0,1895.0,56.0,1372,140,69,488,138.119533528,33.8392857143
60,England,6.0,1171.0,48.0,887,93,32,294,132.018038331,24.3958333333
61,England,7.0,715.0,39.0,527,42,26,176,135.673624288,18.3333333333
62,England,8.0,458.0,29.0,356,32,16,124,128.651685393,15.7931034483
63,England,9.0,256.0,17.0,211,23,5,86,121.327014218,15.0588235294
64,England,10.0,75.0,11.0,91,4,0,40,82.4175824176,6.81818181818
65,England,11.0,25.0,3.0,29,2,0,12,86.2068965517,8.33333333333
66,Hong Kong,1.0,190.0,18.0,185,17,4,101,102.702702703,10.5555555556
67,Hong Kong,2.0,267.0,16.0,279,26,7,161,95.6989247312,16.6875
68,Hong Kong,3.0,515.0,15.0,371,43,21,149,138.814016173,34.3333333333
69,Hong Kong,4.0,350.0,15.0,297,32,7,124,117.845117845,23.3333333333
70,Hong Kong,5.0,171.0,12.0,181,9,4,79,94.4751381215,14.25
71,Hong Kong,6.0,133.0,15.0,160,4,6,87,83.125,8.86666666667
72,Hong Kong,7.0,233.0,9.0,193,12,11,83,120.725388601,25.8888888889
73,Hong Kong,8.0,111.0,10.0,121,7,3,64,91.7355371901,11.1
74,Hong Kong,9.0,76.0,7.0,79,4,1,35,96.2025316456,10.8571428571
75,Hong Kong,10.0,24.0,3.0,33,1,0,14,72.7272727273,8.0
76,Hong Kong,11.0,22.0,3.0,30,2,0,18,73.3333333333,7.33333333333
77,India,1.0,1772.0,57.0,1448,176,33,606,122.375690608,31.0877192982
78,India,2.0,1519.0,59.0,1169,150,44,501,129.94011976,25.7457627119
79,India,3.0,2236.0,51.0,1690,204,57,594,132.307692308,43.8431372549
80,India,4.0,1627.0,51.0,1257,109,70,500,129.435163087,31.9019607843
81,India,5.0,983.0,35.0,771,77,39,316,127.496757458,28.0857142857
82,India,6.0,861.0,32.0,666,60,29,248,129.279279279,26.90625
83,India,7.0,401.0,20.0,316,20,18,133,126.898734177,20.05
84,India,8.0,214.0,18.0,187,13,6,71,114.438502674,11.8888888889
85,India,9.0,191.0,11.0,154,15,5,61,124.025974026,17.3636363636
86,India,10.0,76.0,6.0,71,7,2,36,107.042253521,12.6666666667
87,India,11.0,17.0,2.0,22,1,0,12,77.2727272727,8.5
88,Ireland,1.0,852.0,43.0,703,97,15,354,121.19487909,19.8139534884
89,Ireland,2.0,957.0,43.0,770,110,18,378,124.285714286,22.2558139535
90,Ireland,3.0,1051.0,38.0,1026,73,18,451,102.436647173,27.6578947368
91,Ireland,4.0,797.0,39.0,728,70,15,331,109.478021978,20.4358974359
92,Ireland,5.0,625.0,37.0,554,50,17,249,112.815884477,16.8918918919
93,Ireland,6.0,530.0,28.0,479,39,8,191,110.647181628,18.9285714286
94,Ireland,7.0,311.0,20.0,279,25,6,110,111.46953405,15.55
95,Ireland,8.0,235.0,16.0,190,14,5,66,123.684210526,14.6875
96,Ireland,9.0,139.0,13.0,133,6,3,52,104.511278195,10.6923076923
97,Ireland,10.0,77.0,5.0,68,5,2,30,113.235294118,15.4
98,Ireland,11.0,34.0,3.0,35,1,1,17,97.1428571429,11.3333333333
99,Kenya,1.0,611.0,25.0,503,74,11,255,121.471172962,24.44
100,Kenya,2.0,466.0,25.0,437,53,9,227,106.636155606,18.64
101,Kenya,3.0,362.0,27.0,390,32,5,212,92.8205128205,13.4074074074
102,Kenya,4.0,525.0,22.0,504,34,12,218,104.166666667,23.8636363636
103,Kenya,5.0,355.0,24.0,347,19,14,170,102.305475504,14.7916666667
104,Kenya,6.0,345.0,18.0,359,16,9,164,96.1002785515,19.1666666667
105,Kenya,7.0,259.0,24.0,279,14,6,138,92.8315412186,10.7916666667
106,Kenya,8.0,188.0,19.0,206,12,4,101,91.2621359223,9.89473684211
107,Kenya,9.0,115.0,14.0,138,4,3,67,83.3333333333,8.21428571429
108,Kenya,10.0,82.0,5.0,97,2,2,47,84.5360824742,16.4
109,Kenya,11.0,44.0,7.0,74,0,1,50,59.4594594595,6.28571428571
110,Nepal,1.0,158.0,8.0,151,18,1,79,104.635761589,19.75
111,Nepal,2.0,137.0,13.0,177,13,0,99,77.4011299435,10.5384615385
112,Nepal,3.0,134.0,10.0,131,16,2,71,102.290076336,13.4
113,Nepal,4.0,254.0,9.0,243,19,1,94,104.526748971,28.2222222222
114,Nepal,5.0,152.0,8.0,186,12,1,99,81.7204301075,19.0
115,Nepal,6.0,131.0,10.0,145,5,3,83,90.3448275862,13.1
116,Nepal,7.0,95.0,9.0,100,7,2,47,95.0,10.5555555556
117,Nepal,8.0,17.0,9.0,28,2,0,19,60.7142857143,1.88888888889
118,Nepal,9.0,45.0,4.0,65,1,1,40,69.2307692308,11.25
119,Nepal,10.0,55.0,4.0,61,6,2,37,90.1639344262,13.75
120,Nepal,11.0,5.0,3.0,17,0,0,13,29.4117647059,1.66666666667
121,Netherlands,1.0,819.0,35.0,678,88,17,311,120.796460177,23.4
122,Netherlands,2.0,1010.0,37.0,811,91,31,344,124.537607891,27.2972972973
123,Netherlands,3.0,1030.0,34.0,853,72,29,331,120.750293083,30.2941176471
124,Netherlands,4.0,753.0,29.0,609,56,22,226,123.645320197,25.9655172414
125,Netherlands,5.0,580.0,28.0,479,40,18,185,121.08559499,20.7142857143
126,Netherlands,6.0,337.0,19.0,336,20,6,136,100.297619048,17.7368421053
127,Netherlands,7.0,216.0,20.0,220,9,3,81,98.1818181818,10.8
128,Netherlands,8.0,136.0,9.0,140,6,1,60,97.1428571429,15.1111111111
129,Netherlands,9.0,86.0,6.0,93,3,2,46,92.4731182796,14.3333333333
130,Netherlands,10.0,53.0,8.0,62,2,1,29,85.4838709677,6.625
131,Netherlands,11.0,13.0,4.0,20,1,0,11,65.0,3.25
132,New Zealand,1.0,2478.0,73.0,1834,244,85,816,135.114503817,33.9452054795
133,New Zealand,2.0,2532.0,73.0,1892,248,82,794,133.826638478,34.6849315068
134,New Zealand,3.0,2020.0,75.0,1557,159,85,666,129.736673089,26.9333333333
135,New Zealand,4.0,1691.0,70.0,1381,113,53,527,122.44750181,24.1571428571
136,New Zealand,5.0,1377.0,63.0,1123,76,60,442,122.617987533,21.8571428571
137,New Zealand,6.0,901.0,46.0,699,59,34,255,128.898426323,19.5869565217
138,New Zealand,7.0,818.0,44.0,617,60,33,236,132.576985413,18.5909090909
