,batting_team,year,num_games,win,runs_scored,balls_faced,num_fours,num_sixes,num_dots,win_percentage,prop_runs_sixes,prop_runs_boundaries,run_rate,dot_prop,balls_per_six,balls_per_four,balls_per_boundary
0,Afghanistan,08-10,8,4.0,1004.0,920,71,23,433,0.5,0.137450199203,0.4203187251,6.54782608696,0.470652173913,40.0,12.9577464789,9.78723404255
1,Afghanistan,11-13,13,7.0,1849.0,1511,146,72,706,0.538461538462,0.2336398053,0.549486208761,7.34215751158,0.467240238253,20.9861111111,10.3493150685,6.93119266055
2,Afghanistan,14-16,20,16.0,3221.0,2328,247,133,950,0.8,0.247749146228,0.554486184415,8.30154639175,0.408075601375,17.5037593985,9.42510121457,6.12631578947
3,Australia,05-07,13,7.0,2112.0,1403,189,77,540,0.538461538462,0.21875,0.576704545455,9.03207412687,0.384889522452,18.2207792208,7.42328042328,5.27443609023
4,Australia,08-10,25,14.0,3752.0,2774,284,144,1119,0.56,0.230277185501,0.533049040512,8.11535688536,0.403388608508,19.2638888889,9.7676056338,6.48130841121
5,Australia,11-13,25,9.0,3717.0,2792,263,160,1146,0.36,0.258272800646,0.541296744687,7.98782234957,0.410458452722,17.45,10.6159695817,6.60047281324
6,Australia,14-16,19,10.0,2879.0,2019,239,115,826,0.526315789474,0.239666550886,0.571726293852,8.55572065379,0.409113422486,17.5565217391,8.44769874477,5.70338983051
7,Bangladesh,05-07,7,2.0,955.0,785,80,27,382,0.285714285714,0.169633507853,0.504712041885,7.29936305732,0.486624203822,29.0740740741,9.8125,7.33644859813
8,Bangladesh,08-10,8,0.0,963.0,877,70,27,437,0.0,0.168224299065,0.458982346833,6.58836944128,0.498289623717,32.4814814815,12.5285714286,9.0412371134
9,Bangladesh,11-13,15,5.0,2279.0,1768,198,67,732,0.333333333333,0.176393154892,0.523913997367,7.73416289593,0.414027149321,26.3880597015,8.92929292929,6.67169811321
10,Bangladesh,14-16,23,9.0,3084.0,2563,282,79,1157,0.391304347826,0.153696498054,0.519455252918,7.21966445572,0.451424112368,32.4430379747,9.08865248227,7.09972299169
11,Bermuda,08-10,2,0.0,210.0,240,7,3,178,0.0,0.0857142857143,0.219047619048,5.25,0.741666666667,80.0,34.2857142857,24.0
12,Canada,08-10,11,3.0,1306.0,1250,92,35,634,0.272727272727,0.160796324655,0.442572741194,6.2688,0.5072,35.7142857143,13.5869565217,9.84251968504
13,Canada,11-13,8,1.0,1004.0,920,79,16,427,0.125,0.0956175298805,0.410358565737,6.54782608696,0.464130434783,57.5,11.6455696203,9.68421052632
14,England,05-07,11,3.0,1811.0,1318,162,40,485,0.272727272727,0.132523467697,0.49033683048,8.24430955994,0.367981790592,32.95,8.13580246914,6.52475247525
15,England,08-10,21,16.0,3196.0,2387,285,89,985,0.761904761905,0.167083854819,0.523779724656,8.03351487222,0.412651864265,26.8202247191,8.37543859649,6.38235294118
16,England,11-13,26,14.0,3938.0,2919,334,125,1193,0.538461538462,0.190452006094,0.529710512951,8.09455292909,0.40870161014,23.352,8.73952095808,6.35947712418
17,England,14-16,19,8.0,3062.0,2244,255,113,927,0.421052631579,0.221423905944,0.554539516656,8.1871657754,0.413101604278,19.8584070796,8.8,6.09782608696
18,Hong Kong,14-16,18,7.0,2236.0,2007,170,68,976,0.388888888889,0.182468694097,0.486583184258,6.6846038864,0.48629795715,29.5147058824,11.8058823529,8.43277310924
19,India,05-07,8,6.0,1331.0,948,122,46,416,0.75,0.207362885049,0.574004507889,8.42405063291,0.438818565401,20.6086956522,7.77049180328,5.64285714286
20,India,08-10,18,8.0,2681.0,2022,195,103,888,0.444444444444,0.230511003357,0.521447221186,7.95548961424,0.439169139466,19.6310679612,10.3692307692,6.78523489933
21,India,11-13,19,11.0,2891.0,2170,257,73,834,0.578947368421,0.151504669664,0.507090971982,7.9935483871,0.384331797235,29.7260273973,8.44357976654,6.57575757576
22,India,14-16,22,16.0,3198.0,2428,287,86,1003,0.727272727273,0.161350844278,0.520325203252,7.90280065898,0.413097199341,28.2325581395,8.45993031359,6.50938337802
23,Ireland,08-10,14,7.0,1775.0,1531,142,22,804,0.5,0.0743661971831,0.394366197183,6.9562377531,0.525146962769,69.5909090909,10.7816901408,9.33536585366
24,Ireland,11-13,14,11.0,1879.0,1469,181,43,677,0.785714285714,0.137307078233,0.52261841405,7.67460857726,0.460857726344,34.1627906977,8.11602209945,6.55803571429
25,Ireland,14-16,16,5.0,1954.0,1702,167,43,748,0.3125,0.132036847492,0.473899692938,6.8883666275,0.439482961222,39.5813953488,10.1916167665,8.10476190476
26,Kenya,05-07,4,0.0,391.0,456,26,6,272,0.0,0.0920716112532,0.358056265985,5.14473684211,0.59649122807,76.0,17.5384615385,14.25
27,Kenya,08-10,7,4.0,906.0,716,78,18,395,0.571428571429,0.119205298013,0.46357615894,7.59217877095,0.551675977654,39.7777777778,9.17948717949,7.45833333333
28,Kenya,11-13,17,7.0,2055.0,1957,156,52,983,0.411764705882,0.151824817518,0.455474452555,6.30045988758,0.502299437915,37.6346153846,12.5448717949,9.40865384615
29,Nepal,14-16,11,3.0,1183.0,1257,99,13,681,0.272727272727,0.0659340659341,0.40067624683,5.64677804296,0.541766109785,96.6923076923,12.696969697,11.2232142857
30,Netherlands,08-10,8,6.0,1106.0,889,82,16,458,0.75,0.0867992766727,0.383363471971,7.46456692913,0.5151856018,55.5625,10.8414634146,9.07142857143
31,Netherlands,11-13,11,5.0,1556.0,1294,110,37,514,0.454545454545,0.142673521851,0.425449871465,7.21483771252,0.397217928903,34.972972973,11.7636363636,8.80272108844
32,Netherlands,14-16,17,10.0,2371.0,1891,196,77,788,0.588235294118,0.194854491776,0.525516659637,7.52300370175,0.416710735061,24.5584415584,9.64795918367,6.92673992674
33,New Zealand,05-07,13,6.0,1857.0,1456,141,71,676,0.461538461538,0.229402261712,0.533117932149,7.65247252747,0.464285714286,20.5070422535,10.3262411348,6.8679245283
34,New Zealand,08-10,30,13.0,4059.0,3270,315,136,1486,0.433333333333,0.20103473762,0.511456023651,7.44770642202,0.454434250765,24.0441176471,10.380952381,7.25055432373
35,New Zealand,11-13,24,11.0,3864.0,2770,310,140,1113,0.458333333333,0.217391304348,0.538302277433,8.36967509025,0.401805054152,19.7857142857,8.93548387097,6.15555555556
36,New Zealand,14-16,19,10.0,2818.0,2022,248,103,793,0.526315789474,0.219304471256,0.571327182399,8.36201780415,0.3921859545,19.6310679612,8.15322580645,5.76068376068
37,Oman,14-16,10,3.0,1356.0,1165,125,25,517,0.3,0.110619469027,0.479351032448,6.98369098712,0.443776824034,46.6,9.32,7.76666666667
38,Pakistan,05-07,11,8.0,1665.0,1250,135,63,576,0.727272727273,0.227027027027,0.551351351351,7.992,0.4608,19.8412698413,9.25925925926,6.31313131313
39,Pakistan,08-10,34,19.0,4913.0,3989,391,143,1735,0.558823529412,0.174638713617,0.492977813963,7.38982201053,0.43494610178,27.8951048951,10.2020460358,7.47003745318
40,Pakistan,11-13,33,20.0,4654.0,3809,400,117,1722,0.606060606061,0.150837988827,0.494628276751,7.33105802048,0.452087161985,32.5555555556,9.5225,7.36750483559
41,Pakistan,14-16,24,12.0,3470.0,2796,288,105,1242,0.5,0.181556195965,0.513544668588,7.44635193133,0.444206008584,26.6285714286,9.70833333333,7.11450381679
42,Papua New Guinea,14-16,6,3.0,647.0,624,34,20,317,0.5,0.185471406491,0.395672333849,6.22115384615,0.508012820513,31.2,18.3529411765,11.5555555556
43,Scotland,05-07,1,0.0,120.0,119,13,0,60,0.0,0.0,0.433333333333,6.05042016807,0.504201680672,inf,9.15384615385,9.15384615385
44,Scotland,08-10,9,1.0,1049.0,949,75,21,526,0.111111111111,0.120114394662,0.406101048618,6.63224446786,0.554267650158,45.1904761905,12.6533333333,9.88541666667
45,Scotland,11-13,13,5.0,1773.0,1493,145,39,631,0.384615384615,0.131979695431,0.459108855048,7.12525117214,0.422638981916,38.2820512821,10.2965517241,8.11413043478
46,Scotland,14-16,11,6.0,1534.0,1114,159,39,447,0.545454545455,0.152542372881,0.567144719687,8.26211849192,0.401256732496,28.5641025641,7.00628930818,5.62626262626
47,South Africa,05-07,12,7.0,1677.0,1309,155,51,652,0.583333333333,0.182468694097,0.552176505665,7.68678380443,0.498090145149,25.6666666667,8.44516129032,6.35436893204
48,South Africa,08-10,25,18.0,3750.0,2843,290,129,1147,0.72,0.2064,0.515733333333,7.91417516708,0.403447062962,22.0387596899,9.80344827586,6.78520286396
49,South Africa,11-13,25,14.0,3483.0,2656,298,106,1077,0.56,0.182601205857,0.524834912432,7.86822289157,0.405496987952,25.0566037736,8.91275167785,6.57425742574
50,South Africa,14-16,23,13.0,3612.0,2608,301,122,1004,0.565217391304,0.202657807309,0.535991140642,8.30981595092,0.384969325153,21.3770491803,8.66445182724,6.16548463357
51,Sri Lanka,05-07,8,4.0,1172.0,854,103,35,377,0.5,0.179180887372,0.530716723549,8.23419203747,0.441451990632,24.4,8.29126213592,6.1884057971
52,Sri Lanka,08-10,26,15.0,3823.0,3003,352,87,1316,0.576923076923,0.136541982736,0.504839131572,7.63836163836,0.438228438228,34.5172413793,8.53125,6.84054669704
53,Sri Lanka,11-13,23,14.0,3308.0,2580,314,64,1114,0.608695652174,0.116082224909,0.49576783555,7.69302325581,0.431782945736,40.3125,8.21656050955,6.8253968254
54,Sri Lanka,14-16,22,11.0,3129.0,2509,270,90,1060,0.5,0.172579098754,0.517737296261,7.4826624153,0.422479075329,27.8777777778,9.29259259259,6.96944444444
55,United Arab Emirates,14-16,18,7.0,2272.0,2091,187,73,1095,0.388888888889,0.192781690141,0.522007042254,6.5193687231,0.523672883788,28.6438356164,11.1818181818,8.04230769231
56,West Indies,05-07,6,2.0,932.0,659,79,36,297,0.333333333333,0.231759656652,0.570815450644,8.48558421851,0.450682852807,18.3055555556,8.3417721519,5.73043478261
57,West Indies,08-10,22,7.0,2846.0,2335,234,76,1135,0.318181818182,0.16022487702,0.489107519325,7.3130620985,0.48608137045,30.7236842105,9.97863247863,7.53225806452
58,West Indies,11-13,22,13.0,3464.0,2610,257,164,1195,0.590909090909,0.284064665127,0.580831408776,7.9632183908,0.45785440613,15.9146341463,10.1556420233,6.19952494062
59,West Indies,14-16,19,11.0,2864.0,2207,231,122,1046,0.578947368421,0.255586592179,0.578212290503,7.78613502492,0.473946533756,18.0901639344,9.55411255411,6.25212464589
60,Zimbabwe,05-07,2,1.0,277.0,239,25,5,100,0.5,0.108303249097,0.469314079422,6.9539748954,0.418410041841,47.8,9.56,7.96666666667
61,Zimbabwe,08-10,11,3.0,1357.0,1182,108,37,578,0.272727272727,0.163596168018,0.481945467944,6.8883248731,0.489001692047,31.9459459459,10.9444444444,8.15172413793
62,Zimbabwe,11-13,14,1.0,1923.0,1618,161,48,742,0.0714285714286,0.14976599064,0.484659386375,7.13102595797,0.458590852905,33.7083333333,10.049689441,7.74162679426
63,Zimbabwe,14-16,21,7.0,3144.0,2467,241,105,1052,0.333333333333,0.200381679389,0.506997455471,7.64653425213,0.426428860965,23.4952380952,10.2365145228,7.13005780347
